trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,window,validation_start,validation_end
43,25,18,0.5813953488372093,0.2560651162790698,0.2156,11.010800000000001,1.9460100350539558,-2.777599999999998,3,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
38,13,25,0.34210526315789475,-0.22703157894736842,-0.4494,-8.6272,0.5840308582449374,-8.399999999999999,5,3,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
1,1,0,1.0,0.0456,0.0456,0.0456,inf,0.0,0,4,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
43,18,25,0.4186046511627907,0.03746046511627907,-0.1144,1.6108,1.1053499018966644,-6.1724,6,5,2022-05-06 09:30:00-04:00,2022-08-06 09:30:00-04:00
69,39,30,0.5652173913043478,0.18415072463768115,0.12560000000000002,12.706399999999999,1.5570050850429606,-5.4496,7,6,2022-08-06 09:30:00-04:00,2022-11-06 09:30:00-05:00
3,1,2,0.3333333333333333,-0.14106666666666665,-0.2744,-0.42319999999999997,0.3943903835145965,-0.6988,2,7,2022-11-06 09:30:00-05:00,2023-02-06 09:30:00-05:00
6,4,2,0.6666666666666666,0.5189333333333334,0.38060000000000005,3.1136,3.9406875708349083,-0.7944,1,8,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
40,12,28,0.3,-0.25539999999999996,-0.6744,-10.215999999999998,0.5392636155358722,-13.276399999999997,9,9,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
41,22,19,0.5365853658536586,0.30560000000000004,0.12560000000000002,12.529600000000002,1.9894184907925079,-2.7176,4,10,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
35,10,25,0.2857142857142857,-0.36839999999999995,-0.8244,-12.893999999999998,0.3746847720659554,-13.710799999999997,5,11,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
43,21,22,0.4883720930232558,0.06234418604651167,-0.004399999999999995,2.680800000000002,1.1271919836028241,-4.5608,3,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1,13,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
44,25,19,0.5681818181818182,0.32196363636363645,0.2906,14.166400000000003,1.7517884056125157,-3.1331999999999987,3,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00
5,2,3,0.4,0.055600000000000004,-1.0444,0.278,1.088727179879995,-1.0444,2,15,2024-11-06 09:30:00-05:00,2025-02-06 09:30:00-05:00
8,5,3,0.625,0.2956,0.0756,2.3648,1.8145494626618903,-2.9031999999999996,3,16,2025-02-06 09:30:00-05:00,2025-05-06 09:30:00-04:00
5,3,2,0.6,0.6516000000000001,1.7056,3.2580000000000005,2.7527437056165267,-1.0444,1,17,2025-05-06 09:30:00-04:00,2025-08-06 09:30:00-04:00
20,7,13,0.35,-0.2354,-0.9394,-4.708,0.6149568175870191,-9.446,8,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00
2,1,1,0.5,0.3306,0.3306,0.6612,1.6330907698199923,0.0,1,19,2025-11-06 09:30:00-05:00,2026-02-06 09:30:00-05:00
71,30,41,0.4225352112676056,0.035318309859154975,-0.7243999999999999,2.507600000000003,1.0640831680739267,-5.5616,5,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00
1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1,21,2026-05-06 09:30:00-04:00,2026-08-06 09:30:00-04:00
17,5,12,0.29411764705882354,-0.21616470588235293,-1.0444,-3.6748,0.6810844586385254,-6.7028,5,22,2026-08-06 09:30:00-04:00,2026-08-26 16:59:00-04:00
